"names";"acq_number";"nbr_MS";"start";"end";"use4analysis";"blank(acq_number)";"color";"concentration";"unit";"acq_T0";"delta_T";"grp1";"grp2";"..."
"s1_Ch1_lv1_c023_n088";"1";"5";"1";"5";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c025_n096";"2";"5";"6";"10";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c027_n104";"3";"5";"11";"15";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c029_n112";"4";"5";"16";"20";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c031_n120";"5";"5";"21";"25";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c033_n128";"6";"5";"26";"30";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c035_n136";"7";"5";"31";"35";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c037_n144";"8";"5";"36";"40";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c039_n152";"9";"5";"41";"45";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c041_n160";"10";"5";"46";"50";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c043_n168";"11";"5";"51";"55";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c045_n176";"12";"5";"56";"60";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c047_n184";"13";"5";"61";"65";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c049_n192";"14";"5";"66";"70";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c051_n200";"15";"5";"71";"75";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c053_n208";"16";"5";"76";"80";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c055_n216";"17";"5";"81";"85";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c057_n224";"18";"5";"86";"90";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c059_n232";"19";"5";"91";"95";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c061_n240";"20";"5";"96";"100";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c063_n248";"21";"5";"101";"105";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c065_n256";"22";"5";"106";"110";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c067_n264";"23";"5";"111";"115";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c069_n272";"24";"5";"116";"120";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c071_n280";"25";"5";"121";"125";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c073_n288";"26";"5";"126";"130";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c075_n296";"27";"5";"131";"135";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c077_n304";"28";"5";"136";"140";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c079_n312";"29";"5";"141";"145";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c081_n320";"30";"5";"146";"150";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c083_n328";"31";"5";"151";"155";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c085_n336";"32";"5";"156";"160";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c087_n344";"33";"5";"161";"165";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c089_n352";"34";"5";"166";"170";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch1_lv1_c091_n360";"35";"5";"171";"175";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch2_lv2_c023_n089";"36";"5";"176";"180";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch2_lv2_c025_n097";"37";"5";"181";"185";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch2_lv2_c027_n105";"38";"5";"186";"190";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch2_lv2_c029_n113";"39";"5";"191";"195";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch2_lv2_c031_n121";"40";"5";"196";"200";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch2_lv2_c033_n129";"41";"5";"201";"205";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch2_lv2_c035_n137";"42";"5";"206";"210";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch2_lv2_c037_n145";"43";"5";"211";"215";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch2_lv2_c039_n153";"44";"5";"216";"220";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch2_lv2_c041_n161";"45";"5";"221";"225";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch2_lv2_c043_n169";"46";"5";"226";"230";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch2_lv2_c045_n177";"47";"5";"231";"235";"TRUE";"";"";"";"";"";"";"";"";""
"s1_Ch2_lv2_c047_n185";"48";"5";"236";"240";"TRUE";"";"";"";"";"";"";"";"";""
